75;17;16;90;59;11;38;79;7;29;70;37;55;61;81;13;100;34;40;18;40;79;80;38;79;53;33;68;24;49;59;77;68;85;16
14;53;64;14;33;98;95;16;87;56;28;95;66;37;93;97;8;89;2;14;86;34;17;20;39;30;38;98;18;86;53;62;54;19;8
7;65;98;79;14;4;3;90;28;41;70;24;42;66;68;20;70;60;71;60;67;18;9;7;53;73;11;9;65;26;94;68;56;27;81
8;97;90;67;46;72;76;47;93;87;38;75;6;38;69;41;36;22;57;97;6;7;32;19;54;39;69;57;50;49;50;52;7;97;71
49;70;24;52;65;86;51;75;7;91;68;68;97;98;12;18;5;99;21;36;75;3;25;62;94;11;38;29;57;24;88;60;95;39;35
43;39;16;9;77;89;68;72;92;92;8;64;71;36;60;64;78;7;24;10;53;70;42;2;40;75;18;60;83;11;3;72;4;28;57
18;16;39;20;67;99;50;84;28;73;41;77;75;100;91;29;74;63;47;92;87;15;54;82;64;59;90;27;32;82;36;52;79;54;44
1;99;100;62;89;5;49;68;70;15;77;99;7;91;1;35;33;75;13;94;45;95;83;27;26;80;27;40;55;2;15;94;96;87;55
68;35;7;77;26;73;100;35;21;21;92;48;99;39;68;87;33;12;41;27;100;82;84;61;26;28;13;45;5;85;16;57;15;64;82
71;89;62;36;64;19;10;70;87;15;40;66;60;58;50;32;41;72;12;84;42;83;67;52;86;90;78;40;77;17;19;96;67;2;44
66;16;89;16;27;94;88;92;75;15;55;95;36;15;19;87;2;47;14;81;79;15;63;41;85;52;63;48;83;40;91;13;57;78;76
39;99;60;56;10;83;63;80;81;78;97;71;98;75;6;20;42;22;32;57;33;25;58;6;52;62;69;85;92;26;12;62;73;49;89
80;100;7;56;68;73;28;11;63;84;84;35;72;51;34;37;16;36;12;85;39;96;34;100;28;41;75;24;90;42;96;85;47;35;28
91;53;89;39;95;100;39;71;55;17;46;95;87;57;20;33;35;86;8;52;93;6;89;2;87;53;100;42;86;51;5;100;23;27;91
73;26;2;70;97;24;83;46;82;70;42;3;2;40;80;49;32;32;88;66;54;90;42;23;66;5;65;74;88;82;34;64;91;71;28
8;66;96;84;57;16;78;61;59;93;50;11;36;11;27;71;29;47;34;18;3;68;73;48;4;47;26;29;16;99;63;21;25;7;1
18;56;40;30;41;20;8;39;45;38;26;47;4;78;86;40;9;44;83;56;99;19;27;49;51;32;66;18;57;48;19;78;23;10;16
65;84;40;9;93;12;52;99;1;48;66;37;40;63;48;62;41;51;40;38;49;45;4;74;49;22;97;13;49;5;58;58;80;29;81
65;34;81;20;19;52;81;87;38;78;42;2;46;14;78;54;41;10;71;80;88;44;34;4;8;99;80;80;75;34;64;64;53;79;17
58;92;95;82;45;88;53;19;49;39;89;15;54;96;87;18;99;68;64;87;54;64;87;83;45;93;36;17;5;25;97;66;52;77;97
53;9;42;100;64;5;38;65;4;9;53;39;48;45;3;59;48;21;35;56;80;43;3;60;8;22;37;42;13;33;91;27;65;30;40
11;11;73;24;75;76;86;37;60;39;90;79;35;13;13;55;46;91;39;6;96;67;54;52;54;87;95;32;28;11;57;5;81;79;39
62;91;34;79;75;95;38;50;49;11;83;40;96;98;25;44;86;24;55;52;62;99;87;15;88;31;68;24;72;35;81;62;95;6;16
37;97;20;74;39;21;37;31;34;84;53;93;62;61;82;40;41;17;48;83;89;59;4;36;16;19;35;84;1;47;92;1;65;37;55
37;37;67;39;62;40;14;70;25;52;73;39;11;51;77;1;85;10;79;71;27;41;76;69;1;68;73;31;90;30;5;10;52;84;37
89;39;15;85;61;83;87;57;93;97;49;71;69;42;84;3;90;82;42;77;73;5;75;87;14;4;9;61;2;27;37;53;24;18;93
40;77;26;36;43;73;94;58;24;52;6;29;26;49;56;12;77;24;23;85;66;51;44;84;20;58;6;7;16;91;25;32;98;5;43
79;75;29;30;3;77;50;53;87;60;17;86;83;94;69;86;53;62;7;23;24;3;34;9;27;48;10;10;40;58;41;33;46;28;97
61;5;99;41;95;47;40;79;41;15;16;91;91;66;32;12;66;55;63;95;22;60;43;72;73;22;53;25;24;38;19;49;34;19;64
19;21;85;96;39;10;76;42;63;100;69;89;28;6;87;92;18;6;3;42;89;95;54;71;11;99;6;72;100;77;81;22;81;81;90
12;73;24;31;69;20;73;26;41;78;38;73;51;66;99;63;44;71;99;54;17;80;75;30;18;78;6;98;64;17;13;15;100;20;47
16;40;46;82;73;22;7;16;46;47;81;24;38;92;89;86;18;7;84;75;62;2;16;77;89;30;63;66;82;41;12;7;92;79;69
51;4;54;34;15;38;3;61;55;86;69;93;90;72;38;36;30;40;32;86;71;22;12;12;87;68;14;77;86;15;39;83;12;91;84
80;2;30;82;34;72;99;11;30;4;81;34;98;14;58;33;5;82;90;67;62;45;65;72;86;59;80;22;88;57;1;25;55;37;87
54;7;37;91;29;58;32;56;6;23;88;44;60;91;65;28;12;18;92;8;81;38;95;93;44;42;67;80;35;94;70;48;92;12;56
66;45;20;55;12;90;99;47;94;81;30;32;9;69;5;29;22;43;86;73;12;17;53;99;94;81;1;85;58;31;37;31;8;22;83
18;49;38;16;97;97;41;26;70;55;48;4;29;53;89;30;25;90;15;73;42;27;66;94;59;40;7;6;35;29;9;21;66;31;53
95;93;27;27;60;37;99;94;42;56;9;26;69;21;19;89;40;94;37;2;12;55;49;85;20;82;96;64;17;29;72;9;31;55;22
33;100;46;74;22;28;72;76;78;19;26;66;73;61;84;15;5;91;21;32;92;57;43;66;87;93;78;47;2;80;90;59;60;13;34
22;96;97;51;46;13;16;82;10;36;44;90;51;82;91;83;73;49;16;11;27;5;58;64;69;17;96;5;86;92;34;62;8;8;29
42;92;42;9;46;1;15;100;73;30;21;58;35;51;58;80;47;32;69;93;15;69;35;36;99;40;80;53;81;38;12;51;89;89;43
69;19;25;32;70;26;17;31;63;89;45;6;74;94;82;3;3;1;17;13;17;77;84;41;68;75;22;50;97;91;12;13;13;17;45
49;78;20;55;74;15;89;41;34;12;27;83;85;66;25;95;98;98;17;98;79;92;67;37;17;63;94;52;44;75;65;3;37;33;72
28;14;19;14;75;13;11;1;40;48;56;72;62;82;12;3;5;77;49;20;30;22;65;85;80;62;47;96;43;52;73;100;27;8;39
6;75;88;80;79;25;11;100;31;50;58;82;72;4;53;49;69;91;50;99;79;36;13;64;28;48;95;10;23;93;27;41;23;99;44
